wavelength,phase
553.0079653227548,188.68532495384542
553.4696511704728,188.340041039658
553.9313370181908,187.89149213999664
554.3930228659088,187.33396185950429
554.8547087136269,186.66173380282413
555.3163945613449,185.86909157459948
555.7780804090629,184.95031877947304
556.239766256781,183.89969902208813
556.7014521044989,182.71151590708817
557.163137952217,181.38005303911564
557.624823799935,179.89959402281394
558.086509647653,178.26442246282664
558.548195495371,176.4710185773588
559.0098813430891,174.52702209839637
559.471567190807,172.44360791464115
559.9332530385251,170.23195232437143
560.3949388862432,167.90323162586728
560.8566247339611,165.46862211740878
561.3183105816792,162.93930009727418
561.7799964293972,160.3264418637436
562.2416822771152,157.6412237150972
562.7033681248332,154.8948219496131
563.1650539725513,152.0984128655715
563.6267398202692,149.26317276125252
564.0884256679873,146.40027793493428
564.5501115157053,143.520904684897
565.0117973634234,140.63622930942012
565.4734832111413,137.75742810678386
565.9351690588594,134.8956773752663
566.3968549065775,132.06215341314754
566.8585407542954,129.2680325187079
567.3202266020135,126.5244909902254
567.7819124497315,123.84270512598025
568.2435982974495,121.23385122425255
568.7052841451675,118.70910558332052
569.1669699928856,116.27964450146429
569.6286558406035,113.95664427696391
570.0903416883216,111.7509229827865
570.5520275360396,109.66554978873958
571.0137133837576,107.69610793133836
571.4753992314756,105.83787503541294
571.9370850791937,104.08612872579495
572.3987709269118,102.43614662731548
572.8604567746297,100.88320636480593
573.3221426223478,99.42258556309675
573.7838284700658,98.04956184701935
574.2455143177838,96.7594128414052
574.7072001655018,95.5474161710847
575.1688860132199,94.40884946088936
575.6305718609378,93.3389903356505
576.0922577086559,92.33311642019864
576.553943556374,91.38650533936521
577.0156294040919,90.49443471798152
577.47731525181,89.65218218087826
577.939001099528,88.85502535288668
578.400686947246,88.09824832927485
578.862372794964,87.37821266850031
579.3240586426821,86.6935533165354
579.7857444904,86.04319355383957
580.2474303381181,85.42605666087178
580.7091161858361,84.84106591809143
581.1708020335541,84.28714460595795
581.6324878812721,83.76321600493036
582.0941737289902,83.26820339546805
582.5558595767081,82.80103005803045
583.0175454244262,82.36061927307652
583.4792312721443,81.94589432106577
583.9409171198622,81.5557784824575
584.4026029675803,81.1891950377108
584.8642888152983,80.845067267285
585.3259746630163,80.52231845163958
585.7876605107343,80.21987187123355
586.2493463584524,79.93665080652626
586.7110322061703,79.67157853797713
587.1727180538884,79.42357834604526
587.6344039016064,79.19157351118999
588.0960897493244,78.97456023024574
588.5577755970425,78.77193628179307
589.0194614447605,78.58323695273299
589.4811472924786,78.40799765118824
589.9428331401965,78.24575378528162
590.4045189879146,78.09604076313586
590.8662048356326,77.95839399287374
591.3278906833506,77.83234888261809
591.7895765310686,77.7174408404916
592.2512623787867,77.6132052746171
592.7129482265046,77.51917759311733
593.1746340742227,77.43489320411511
593.6363199219408,77.35988751573318
594.0980057696587,77.29369593609432
594.5596916173768,77.23585387332128
595.0213774650948,77.1858967355369
595.4830633128128,77.14335993086388
595.9447491605308,77.10777886742504
596.4064350082489,77.07868895334313
596.8681208559669,77.05562559674094
597.3298067036849,77.03812420574125
597.7914925514029,77.02572018846682
598.253178399121,77.01794895304043
598.7148642468389,77.01434590758483
599.176550094557,77.01444646022283
599.6382359422751,77.01778601907716
600.099921789993,77.02389999227067
600.5616076377111,77.03232965615959
601.0232934854291,77.0427854067
601.4849793331471,77.05516823625642
601.9466651808651,77.069389320043
602.4083510285832,77.08535983327383
602.8700368763011,77.10299095116304
603.3317227240192,77.12219384892474
603.7934085717372,77.14287970177307
604.2550944194552,77.16495968492218
604.7167802671732,77.18834497358614
605.1784661148913,77.21294674297913
605.6401519626093,77.23867616831521
606.1018378103273,77.26544442480855
606.5635236580454,77.29316268767326
607.0252095057633,77.32174213212345
607.4868953534814,77.35109393337326
607.9485812011994,77.38112926663685
608.4102670489174,77.41175930712828
608.8719528966354,77.4428952300617
609.3336387443535,77.47444821065122
609.7953245920714,77.50632942411099
610.2570104397895,77.53845004565508
610.7186962875076,77.57072125049768
611.1803821352255,77.60305421385287
611.6420679829436,77.63536011093484
612.1037538306616,77.66755011695761
612.5654396783796,77.69953540713537
613.0271255260976,77.73122715668225
613.4888113738157,77.76253654081233
613.9504972215336,77.79337473473976
614.4121830692517,77.82365291367866
614.8738689169697,77.85328225284316
615.3355547646878,77.8821739274474
615.7972406124057,77.91023911270545
616.2589264601238,77.93738898383147
616.7206123078419,77.96353471603959
617.1822981555598,77.98858748454391
617.6439840032779,78.01245846455858
618.1056698509959,78.0350588312977
618.567355698714,78.05629975997539
619.0290415464319,78.0760924258058
619.49072739415,78.09434800400304
619.952413241868,78.11098419168205
